model_id,game,scenario,no_comm_mean,no_comm_ci_lo,no_comm_ci_hi,cheap_talk_mean,cheap_talk_ci_lo,cheap_talk_ci_hi,delta,n_no_comm,n_cheap_talk
gemma-2-2b-it,pd,baseline_cheap_talk,0.6746527777777778,0.346875,0.9215277777777778,0.9796610169491526,0.9389830508474576,1.0,0.3050082391713749,5,5
gemma-2-2b-it,pd,counterfactual,0.6746527777777778,0.346875,0.9215277777777778,0.06454599018497405,0.029138022210470647,0.11157485266375163,-0.6101067875928037,5,5
gemma-2-2b-it,pd,framing_business,0.6746527777777778,0.346875,0.9215277777777778,0.6382991059024332,0.5295363543444608,0.7451293886198547,-0.03635367187534455,5,10
gemma-2-2b-it,pd,framing_competitive,0.6746527777777778,0.346875,0.9215277777777778,0.07561403508771929,0.04412061403508771,0.10798245614035087,-0.5990387426900585,5,10
gemma-2-2b-it,pd,framing_team,0.6746527777777778,0.346875,0.9215277777777778,0.9858129315756432,0.9767027620841179,0.9932203389830508,0.31116015379786544,5,10
gemma-2-2b-it,pd,no_sense,0.6746527777777778,0.346875,0.9215277777777778,0.2614078409513192,0.16707606837606837,0.3557729468599034,-0.4132449368264586,5,5
gemma-2-2b-it,pd,silence,0.6746527777777778,0.346875,0.9215277777777778,0.038726414982572614,0.010532915360501566,0.08400230311560361,-0.6359263627952052,5,5
gemma-2-2b-it,sh,baseline_cheap_talk,0.6475409836065574,0.553125,0.7107069672131148,0.2258958317391559,0.14609668531351758,0.30569497816479424,-0.42164515186740154,5,5
gemma-2-2b-it,sh,counterfactual,0.6475409836065574,0.553125,0.7107069672131148,0.44378235292360185,0.3674549180327868,0.5288809914342992,-0.20375863068295558,5,5
gemma-2-2b-it,sh,framing_business,0.6475409836065574,0.553125,0.7107069672131148,0.5860919540229885,0.4930100574712643,0.6763793103448277,-0.061449029583568904,5,10
gemma-2-2b-it,sh,framing_competitive,0.6475409836065574,0.553125,0.7107069672131148,0.22683120790257832,0.14479453104789647,0.31789596727060193,-0.4207097757039791,5,10
gemma-2-2b-it,sh,framing_team,0.6475409836065574,0.553125,0.7107069672131148,0.1875589397221868,0.15316443916995878,0.22334862580179257,-0.45998204388437064,5,10
gemma-2-2b-it,sh,no_sense,0.6475409836065574,0.553125,0.7107069672131148,0.36772650702793197,0.24977777777777774,0.48951406649616375,-0.27981447657862546,5,5
gemma-2-2b-it,sh,silence,0.6475409836065574,0.553125,0.7107069672131148,0.5898416335916336,0.4814608828671329,0.698976248976249,-0.05769935001492388,5,5
gemma-2-9b-it,pd,baseline_cheap_talk,0.065625,0.03125,0.096875,1.0,1.0,1.0,0.934375,5,5
gemma-2-9b-it,pd,counterfactual,0.065625,0.03125,0.096875,0.78125,0.675,0.8625,0.715625,5,5
gemma-2-9b-it,pd,framing_business,0.065625,0.03125,0.096875,1.0,1.0,1.0,0.934375,5,5
gemma-2-9b-it,pd,framing_competitive,0.065625,0.03125,0.096875,0.01875,0.009375,0.028125,-0.046875,5,5
gemma-2-9b-it,pd,framing_team,0.065625,0.03125,0.096875,1.0,1.0,1.0,0.934375,5,5
gemma-2-9b-it,pd,no_sense,0.065625,0.03125,0.096875,0.090625,0.0625,0.134375,0.024999999999999994,5,5
gemma-2-9b-it,pd,silence,0.065625,0.03125,0.096875,0.3036210317460317,0.10049603174603175,0.653125,0.23799603174603173,5,5
gemma-2-9b-it,sh,baseline_cheap_talk,0.9875,0.96875,1.0,1.0,1.0,1.0,0.012499999999999956,5,5
gemma-2-9b-it,sh,counterfactual,0.9875,0.96875,1.0,0.726388888888889,0.5635416666666666,0.871875,-0.26111111111111107,5,5
gemma-2-9b-it,sh,framing_business,0.9875,0.96875,1.0,0.953125,0.878125,1.0,-0.034375000000000044,5,5
gemma-2-9b-it,sh,framing_competitive,0.9875,0.96875,1.0,0.6076884920634921,0.5153769841269842,0.70625,-0.379811507936508,5,5
gemma-2-9b-it,sh,framing_team,0.9875,0.96875,1.0,0.809375,0.428125,1.0,-0.1781250000000001,5,5
gemma-2-9b-it,sh,no_sense,0.9875,0.96875,1.0,0.721875,0.471875,0.9,-0.265625,5,5
gemma-2-9b-it,sh,silence,0.9875,0.96875,1.0,0.99375,0.9875,1.0,0.006249999999999978,5,5
