model,game,condition,hub_coop_%,leaf_coop_%,P(leaf C | hub C),P(leaf C | hub D),influence_hub->leaf,P(hub C | leaves C),P(hub C | leaves D),influence_leaf->hub,cascade_after_hub_defect_%,cascade_after_leaf_defect_%,P(converge | hub1=C),P(converge | hub1=D)
Gemma-2-9B,pd,no_comm,6.2,6.7,46.7,0.5,46.2,20.0,1.4,18.6,100.0,33.3,0.0,0.0
Gemma-2-9B,pd,no_sense,13.8,7.5,26.7,1.5,25.2,40.0,7.1,32.9,,55.6,0.0,0.0
Gemma-2-9B,pd,silence,30.0,30.5,84.1,0.0,84.1,75.0,2.0,73.0,100.0,16.7,20.0,
Gemma-2-9B,sh,cheap_talk,100.0,100.0,100.0,,,100.0,,,,,100.0,
Gemma-2-9B,sh,counterfactual,92.4,66.2,65.2,53.3,11.9,98.0,79.2,18.8,,23.5,20.0,
Gemma-2-9B,sh,framing_business,100.0,93.8,94.7,,,100.0,100.0,0.0,,14.3,80.0,
Gemma-2-9B,sh,framing_competitive,61.2,60.7,59.8,58.7,1.1,67.3,46.2,21.1,22.2,19.3,25.0,0.0
Gemma-2-9B,sh,framing_team,81.2,80.8,98.4,0.0,98.4,100.0,0.0,100.0,,,100.0,0.0
Gemma-2-9B,sh,no_comm,97.5,99.2,99.5,83.3,16.2,98.7,,,0.0,0.0,100.0,100.0
Gemma-2-9B,sh,no_sense,86.2,67.5,72.9,21.2,51.7,95.2,41.7,53.5,0.0,0.0,0.0,100.0
Gemma-2-9B,sh,silence,100.0,99.2,99.1,,,100.0,,,,0.0,100.0,
Llama-3.1-8B,pd,cheap_talk,100.0,97.9,98.2,,,100.0,,,,13.3,100.0,
Llama-3.1-8B,pd,counterfactual,94.9,95.4,96.7,66.7,30.0,94.5,100.0,-5.5,33.3,8.3,60.0,
Llama-3.1-8B,pd,framing_business,71.2,68.8,78.4,36.5,41.9,76.4,50.0,26.4,66.7,36.7,0.0,
Llama-3.1-8B,pd,framing_competitive,42.9,33.6,36.8,31.1,5.7,45.0,42.3,2.7,100.0,46.4,0.0,0.0
Llama-3.1-8B,pd,framing_team,67.5,67.5,84.0,23.2,60.8,84.6,21.7,62.9,75.0,18.2,0.0,
Llama-3.1-8B,pd,no_comm,47.3,47.0,65.3,29.5,35.8,60.6,30.6,30.0,33.3,29.2,0.0,0.0
Llama-3.1-8B,pd,no_sense,53.8,46.7,59.3,27.5,31.8,66.7,42.2,24.5,73.3,38.1,0.0,0.0
Llama-3.1-8B,pd,silence,36.2,31.8,33.8,26.4,7.4,52.9,25.9,27.0,66.7,33.3,0.0,
Llama-3.1-8B,sh,cheap_talk,92.5,96.2,97.6,88.9,8.7,94.4,33.3,61.1,16.7,33.3,80.0,
Llama-3.1-8B,sh,counterfactual,98.8,95.8,95.9,100.0,-4.1,98.7,,,,0.0,60.0,
Llama-3.1-8B,sh,framing_business,67.5,60.0,68.0,37.3,30.7,74.5,57.1,17.4,46.7,21.4,0.0,50.0
Llama-3.1-8B,sh,framing_competitive,57.5,50.8,51.9,44.6,7.3,51.3,66.7,-15.4,50.0,38.1,0.0,0.0
Llama-3.1-8B,sh,framing_team,65.0,62.9,67.3,50.0,17.3,72.0,44.0,28.0,44.4,26.3,20.0,
Llama-3.1-8B,sh,no_comm,68.3,64.9,69.2,49.0,20.2,75.7,47.6,28.1,71.4,23.1,0.0,
Llama-3.1-8B,sh,no_sense,77.5,67.8,70.6,56.8,13.8,76.9,73.9,3.0,33.3,22.9,0.0,
Llama-3.1-8B,sh,silence,88.5,82.9,84.3,71.4,12.9,86.8,100.0,-13.2,50.0,19.4,0.0,
Qwen2.5-7B,pd,cheap_talk,100.0,100.0,100.0,,,100.0,,,,,100.0,
Qwen2.5-7B,pd,counterfactual,91.2,71.7,72.9,44.4,28.5,91.9,84.6,7.3,,20.2,0.0,
Qwen2.5-7B,pd,no_comm,6.2,9.2,40.0,3.3,36.7,60.0,1.4,58.6,100.0,33.3,0.0,0.0
Qwen2.5-7B,pd,no_sense,5.0,13.8,66.7,9.3,57.4,0.0,4.4,-4.4,55.6,,0.0,0.0
Qwen2.5-7B,pd,silence,40.0,43.8,79.6,18.2,61.4,71.9,14.0,57.9,100.0,0.0,33.3,0.0
Qwen2.5-7B,sh,cheap_talk,100.0,100.0,100.0,,,100.0,,,,,100.0,
Qwen2.5-7B,sh,counterfactual,100.0,99.2,99.1,,,100.0,,,,0.0,100.0,
Qwen2.5-7B,sh,no_comm,93.8,92.9,95.7,53.3,42.4,95.8,66.7,29.1,50.0,12.5,75.0,100.0
Qwen2.5-7B,sh,no_sense,97.5,98.8,100.0,83.3,16.7,98.7,,,16.7,0.0,100.0,100.0
Qwen2.5-7B,sh,silence,100.0,99.6,100.0,,,100.0,,,,0.0,100.0,
Qwen3-4B,pd,cheap_talk,100.0,100.0,100.0,,,100.0,,,,,100.0,
Qwen3-4B,pd,counterfactual,100.0,100.0,100.0,,,100.0,,,,,100.0,
Qwen3-4B,pd,no_comm,7.3,5.2,0.0,4.1,-4.1,,7.9,,,,,0.0
Qwen3-4B,pd,no_sense,100.0,96.5,99.3,,,100.0,100.0,0.0,,0.0,100.0,
Qwen3-4B,pd,silence,85.4,82.6,93.0,23.8,69.2,92.5,20.0,72.5,66.7,4.2,66.7,
Qwen3-4B,sh,cheap_talk,100.0,100.0,100.0,,,100.0,,,,,100.0,
Qwen3-4B,sh,counterfactual,97.9,100.0,100.0,100.0,0.0,97.8,,,0.0,,100.0,
Qwen3-4B,sh,no_comm,97.1,79.2,81.6,0.0,81.6,95.8,100.0,-4.2,,0.0,66.7,
Qwen3-4B,sh,no_sense,100.0,100.0,100.0,,,100.0,,,,,100.0,
Qwen3-4B,sh,silence,100.0,100.0,100.0,,,100.0,,,,,100.0,
