path,model_id,model_id_raw,game,topology,condition,scenario,cell,framing_type,n_rounds,n_runs_config,run_id,coop_rate_overall,coop_rate_hub,coop_rate_leaf,hub_minus_leaf_coop,hub_total_payoff,leaf_avg_payoff,hub_leadership_rate,hub_exploitation_rate,invalid_rate,full_coop_rate
Llama-3.1-8B-Instruct_star\framing_business_context\no_comm\20260804_135633_pd_nocomm_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,no_comm,framing_business_context,framing_business_context[no_comm],neutral,16,5,3,0.543859649122807,0.6153846153846154,0.5227272727272727,0.09265734265734271,114.0,2.6875,0.4166666666666667,,0.109375,0.0625
Llama-3.1-8B-Instruct_star\framing_business_context\no_comm\20260804_135633_pd_nocomm_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,no_comm,framing_business_context,framing_business_context[no_comm],neutral,16,5,4,0.85,0.8666666666666667,0.8444444444444444,0.022222222222222254,163.0,3.3958333333333335,0.975,,0.0625,0.625
Llama-3.1-8B-Instruct_star\framing_business_context\no_comm\20260804_135633_pd_nocomm_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,no_comm,framing_business_context,framing_business_context[no_comm],neutral,16,5,5,0.5925925925925926,0.7272727272727273,0.5581395348837209,0.16913319238900637,98.0,2.3541666666666665,0.6296296296296297,,0.15625,0.0625
Llama-3.1-8B-Instruct_star\framing_business_context\no_comm\20260804_135633_sh_nocomm_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,no_comm,framing_business_context,framing_business_context[no_comm],neutral,16,5,1,0.8392857142857143,0.75,0.8636363636363636,-0.11363636363636365,166.0,3.2083333333333335,0.7741935483870968,,0.125,0.3125
Llama-3.1-8B-Instruct_star\framing_business_context\no_comm\20260804_135633_sh_nocomm_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,no_comm,framing_business_context,framing_business_context[no_comm],neutral,16,5,2,0.7627118644067796,0.8666666666666667,0.7272727272727273,0.1393939393939394,186.0,4.3125,0.7435897435897436,,0.078125,0.1875
Llama-3.1-8B-Instruct_star\framing_business_context\no_comm\20260804_135633_sh_nocomm_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,no_comm,framing_business_context,framing_business_context[no_comm],neutral,16,5,3,0.5357142857142857,0.5384615384615384,0.5348837209302325,0.003577817531305927,107.0,2.3541666666666665,0.6111111111111112,,0.125,0.0625
Llama-3.1-8B-Instruct_star\framing_business_context\no_comm\20260804_135633_sh_nocomm_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,no_comm,framing_business_context,framing_business_context[no_comm],neutral,16,5,4,0.46296296296296297,0.2727272727272727,0.5116279069767442,-0.2389006342494715,84.0,1.375,0.35714285714285715,,0.15625,0.0
Llama-3.1-8B-Instruct_star\framing_business_context\no_comm\20260804_135633_sh_nocomm_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,no_comm,framing_business_context,framing_business_context[no_comm],neutral,16,5,5,0.5833333333333334,0.4375,0.6363636363636364,-0.19886363636363635,167.0,2.9166666666666665,0.5853658536585366,,0.0625,0.1875
Llama-3.1-8B-Instruct_star\framing_competitive\cheap_talk\20260611_212424_pd_cheaptalk_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_competitive,framing_competitive,competitive,16,5,1,0.3125,0.4375,0.2708333333333333,0.16666666666666669,119.0,3.3125,0.6222222222222222,0.0,0.0,0.0
Llama-3.1-8B-Instruct_star\framing_competitive\cheap_talk\20260611_212424_pd_cheaptalk_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_competitive,framing_competitive,competitive,16,5,2,0.265625,0.25,0.2708333333333333,-0.020833333333333315,134.0,2.6875,0.6666666666666666,0.1875,0.0,0.0
Llama-3.1-8B-Instruct_star\framing_competitive\cheap_talk\20260611_212424_pd_cheaptalk_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_competitive,framing_competitive,competitive,16,5,3,0.4375,0.6875,0.3541666666666667,0.3333333333333333,117.0,4.104166666666667,0.4222222222222222,0.125,0.0,0.0
Llama-3.1-8B-Instruct_star\framing_competitive\cheap_talk\20260611_212424_pd_cheaptalk_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_competitive,framing_competitive,competitive,16,5,4,0.3125,0.1875,0.3541666666666667,-0.16666666666666669,152.0,2.3333333333333335,0.5555555555555556,0.0625,0.0,0.0
Llama-3.1-8B-Instruct_star\framing_competitive\cheap_talk\20260611_212424_pd_cheaptalk_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_competitive,framing_competitive,competitive,16,5,5,0.4745762711864407,0.6153846153846154,0.43478260869565216,0.18060200668896326,111.0,2.8333333333333335,0.4411764705882353,0.07692307692307693,0.078125,0.0625
Llama-3.1-8B-Instruct_star\framing_competitive\cheap_talk\20260611_212424_sh_cheaptalk_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_competitive,framing_competitive,competitive,16,5,1,0.515625,0.75,0.4375,0.3125,150.0,4.0625,0.4222222222222222,,0.0,0.0
Llama-3.1-8B-Instruct_star\framing_competitive\cheap_talk\20260611_212424_sh_cheaptalk_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_competitive,framing_competitive,competitive,16,5,2,0.5079365079365079,0.5,0.5106382978723404,-0.010638297872340385,152.0,3.1041666666666665,0.6590909090909091,,0.015625,0.0625
Llama-3.1-8B-Instruct_star\framing_competitive\cheap_talk\20260611_212424_sh_cheaptalk_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_competitive,framing_competitive,competitive,16,5,3,0.546875,0.75,0.4791666666666667,0.2708333333333333,154.0,4.020833333333333,0.4444444444444444,,0.0,0.125
Llama-3.1-8B-Instruct_star\framing_competitive\cheap_talk\20260611_212424_sh_cheaptalk_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_competitive,framing_competitive,competitive,16,5,4,0.5,0.5,0.5,0.0,159.0,3.3125,0.7111111111111111,,0.0,0.125
Llama-3.1-8B-Instruct_star\framing_competitive\cheap_talk\20260611_212424_sh_cheaptalk_run05.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,sh,star,cheap_talk,framing_competitive,framing_competitive,competitive,16,5,5,0.5555555555555556,0.375,0.6170212765957447,-0.24202127659574468,161.0,2.6666666666666665,0.4318181818181818,,0.015625,0.125
Llama-3.1-8B-Instruct_star\framing_competitive_context\cheap_talk\20260818_183359_pd_cheaptalk_run01.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_competitive_context,framing_competitive_context[cheap_talk],neutral,16,5,1,1.0,1.0,1.0,0.0,192.0,4.0,1.0,0.0,0.0,1.0
Llama-3.1-8B-Instruct_star\framing_competitive_context\cheap_talk\20260818_183359_pd_cheaptalk_run02.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_competitive_context,framing_competitive_context[cheap_talk],neutral,16,5,2,0.984375,1.0,0.9791666666666666,0.02083333333333337,189.0,4.041666666666667,0.9777777777777777,0.0,0.0,0.9375
Llama-3.1-8B-Instruct_star\framing_competitive_context\cheap_talk\20260818_183359_pd_cheaptalk_run03.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_competitive_context,framing_competitive_context[cheap_talk],neutral,16,5,3,0.875,0.9375,0.8541666666666666,0.08333333333333337,177.0,4.104166666666667,0.8444444444444444,0.0625,0.0,0.5
Llama-3.1-8B-Instruct_star\framing_competitive_context\cheap_talk\20260818_183359_pd_cheaptalk_run04.json,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,pd,star,cheap_talk,framing_competitive_context,framing_competitive_context[cheap_talk],neutral,16,5,4,1.0,1.0,1.0,0.0,192.0,4.0,1.0,0.0,0.0,1.0
